parcela;idade;n;vol.ha;g.ha;dap;ht;vol;g;dg;hdom
1;10;750;119,78;14,31;14,7;15,48;0,159709;0,019078;15,6;17,73
2;10;1550;94,54;16,32;10,7;10,66;0,060993;0,01053;11,6;12,88
3;10;300;25,09;4,13;12,3;10,86;0,083617;0,013755;13,2;13,49
4;10;350;93,04;10,24;18,7;18,06;0,265836;0,029248;19,3;19,13
5;10;1050;76,96;13,14;12;11,29;0,073299;0,012515;12,6;12,58
6;11;900;134,68;15,34;14,4;17,16;0,149649;0,017045;14,7;18,2
7;11;850;89,52;10,44;12,1;16,35;0,105316;0,012288;12,5;17,5
8;11;600;60,83;7,61;12,3;15,78;0,101376;0,012678;12,7;17,5
9;11;800;88,11;10,64;12,6;16,15;0,110136;0,013303;13;19,05
10;12;400;75,78;8,74;16,3;16,44;0,18945;0,021861;16,7;18,5
11;12;400;53,99;7,42;14,4;12,99;0,134982;0,018538;15,4;16,5
12;12;500;67,71;9,93;15,1;12,78;0,135428;0,019859;15,9;14,75
13;12;550;96,28;13,49;17,5;14,36;0,175046;0,024528;17,7;14,5
14;12;600;54,1;8,26;13;12,42;0,090169;0,013762;13,2;15,5
15;6,5;1778;66,85;11,07;8,7;11,91;0,037606;0,006229;8,9;13,53
16;6,5;1259;30,6;6,61;7,9;8,97;0,0243;0,005249;8,2;10,61
17;6,5;1889;61,44;10,61;8,2;11,32;0,032527;0,005616;8,5;12,7
18;6,5;630;26,03;4,8;9,6;10,73;0,041346;0,007622;9,9;10,2
19;6,5;1963;72,56;11,23;8,3;12,61;0,036962;0,005721;8,5;13,87
20;6,5;1852;80,84;12,68;9;12,35;0,043655;0,006849;9,3;14,1
21;6,5;1444;75,82;11,66;9,8;12,53;0,052494;0,00807;10,1;14,07
22;6,5;2296;64,46;11,78;7,9;10,91;0,028071;0,00513;8,1;11,08
23;6,5;2333;86,05;13,25;8,3;12,7;0,036878;0,005681;8,5;13,93
24;12;1444;133,96;18,96;12,4;13,69;0,092739;0,013129;12,9;15,6
25;12;1444;86,01;13,89;10,5;11,91;0,059545;0,009613;11,1;13,62
26;12;1259;76,8;11,26;10,4;13,11;0,060987;0,008941;10,7;16,82
27;12;1074;94,62;12,76;12;14,75;0,088097;0,011005;12,3;15,03
28;12;1630;86,61;12,99;9,8;12,89;0,053146;0,007974;10,1;14,83
29;12;1333;76,49;12,22;10,6;12,53;0,057366;0,009168;10,8;12,79
30;5,5;1778;35,04;7,03;6,9;9,79;0,019712;0,003955;7,1;10,63
31;5,5;2778;49,49;9,55;6,5;10,25;0,017818;0,003437;6,6;12,1
32;5,5;2037;35;7,38;6,7;9,43;0,017181;0,003624;6,8;10,43
33;5,5;2593;53,56;10,13;6,9;10,35;0,020658;0,003905;7,1;12,5
34;5,5;1963;47,45;9,1;7,5;10,3;0,024174;0,004638;7,7;11
35;5,5;1593;40,49;7,58;7,6;10,66;0,025426;0,004759;7,8;11,07
36;18;407;134,3;14,24;20,6;18,75;0,329643;0,034947;21,1;20,33
37;18;630;136,22;16,85;17,6;15,29;0,21635;0,026756;18,5;17,5
38;18;593;152,2;16,49;18,5;18,37;0,256834;0,027828;18,8;18,97
39;18;481;147,13;16,1;19,9;18,73;0,305584;0,033429;20,6;18,6
40;6,5;2037;105,97;15,64;9,5;13,18;0,05202;0,00768;9,9;14,7
41;6,5;2000;96,95;15,07;9,5;12,52;0,048473;0,007537;9,8;13,97
42;6,5;3074;109,9;17,32;8,2;12,41;0,03575;0,005633;8,5;14,15
43;6,5;1963;88,74;13,03;8,9;13,27;0,045206;0,006639;9,2;15,43
44;6,5;1815;59,05;9,79;8;11,81;0,032539;0,005395;8,3;13,23
45;6,5;1926;81,4;12,25;8,7;13,05;0,042267;0,006361;9;14,57
46;5;2370;33,84;7,82;6,4;8,59;0,014276;0,0033;6,5;9,55
47;5;2148;47,33;9,11;7,2;10,27;0,022031;0,004241;7,3;12,07
48;5;2519;53,11;9,98;7;10,47;0,021086;0,003964;7,1;12,3
49;5;3148;78,76;12,89;7,1;11,99;0,025018;0,004093;7,2;13,6
50;5;2370;61,11;10,51;7,2;11,23;0,02578;0,004434;7,5;13,3
51;5;1815;57,48;9,83;8;11,51;0,031673;0,005415;8,3;12,87
52;5;1741;36,69;7,51;7,2;9,54;0,021076;0,004317;7,4;10,6
53;5;2556;85,52;14,27;8,2;11,8;0,033464;0,005583;8,4;13,17
54;5;2296;41,39;9,43;7,1;8,66;0,018026;0,004107;7,2;9,98
55;5;1815;43,64;8,58;7,6;9,98;0,024046;0,00473;7,8;11,35
56;5;2630;40,83;8,77;6,4;9,28;0,015528;0,003333;6,5;11,2
57;5;2630;81,74;13,6;7,8;11,59;0,031086;0,00517;8,1;13,37
58;9;1370;143,47;17,81;12,5;16,05;0,104694;0,012996;12,9;17,37
59;9;2370;110,8;16,73;9,2;17,83;0,046744;0,007058;9,5;15,07
60;9;1333;140,26;16,73;12;15,99;0,105197;0,012544;12,6;18,33
61;9;1815;137,55;17,63;10,7;14,75;0,075793;0,009716;11,1;16,68
62;9;2074;130,46;17,08;10;15,01;0,067899;0,008235;10,2;16,97
63;9;1185;159,21;18,79;13,5;16,35;0,134333;0,01585;14,2;18,53
64;12;333;84,04;9,96;17,9;16,59;0,252111;0,029867;19,5;17,17
65;12;1259;130,8;16,73;12,5;14,93;0,103872;0,013285;13;17,53
66;12;667;79,05;9,88;12,9;15,27;0,118582;0,014816;13,7;17
67;12;926;75,28;10,25;11,5;14,44;0,081798;0,011071;11,9;15,13
68;12;889;96,99;13,34;13,4;14,18;0,10911;0,015004;13,8;16,03
69;12;815;94,96;11,11;12,7;16,?7;0,116543;0,013638;13,2;12,88
70;7;2148;97,67;15,99;9,3;11,91;0,045467;0,007443;9,7;13
71;7;2074;90,96;14,83;9,2;12,03;0,043854;0,00715;9,5;12,89
72;7;2667;88,97;15,92;8,4;11,05;0,033364;0,005968;8,7;11,76
73;7;2963;105,28;17,43;8,4;11,88;0,035533;0,005883;8,7;12,6
74;7;2259;97,8;15,48;9;12,32;0,04329;0,00685;9,3;14,14
75;7;2704;84,04;13,8;7,8;11,93;0,031082;0,005104;8,1;12,59
