par;ind;fam;cient;autor;verna;cap;ht;hc;qf;qc;estrato;obs
3;1;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;82;17;6;2;1;dossel;
3;2;Meliaceae;Guarea macrophylla;Vahl;Caf�-bravo;18;5,5;3;1;1;sub;
3;3;Lauraceae;Ocotea dispersa;(Nees & Mart.) Mez;Canela-sab�o;20;6;4;2;1;sub;
3;4;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;57;10;7;3;2;inter;
3;5;Aquifoliaceae;Ilex dumosa;Reissek;Ca�na;70;12;7;3;2;dossel;
3;6;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;17;8;3;3;3;sub;
3;7;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;44;12;7;3;2;inter;
3;8;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;33;10;6;2;1;inter;bif
3;8;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;31;10;6;2;1;inter;bif
3;9;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;17;6;3;3;3;sub;bif
3;9;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;23;6;3;3;3;sub;bif
3;10;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;50;13;5;2;3;dossel;
3;11;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;56;14;8;2;2;dossel;
3;12;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;17;5;15;2;3;sub;
3;13;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;17;7;3;3;2;sub;
3;14;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;20;7;3;3;2;sub;
3;15;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Ju�ara;37;8;5;1;3;inter;
3;17;Nyctaginaceae;Guapira hirsuta;(Choisy) Lundell;Caixeta;21;5;3;3;2;sub;bif
3;17;Nyctaginaceae;Guapira hirsuta;(Choisy) Lundell;Caixeta;16,5;5;3;3;2;sub;bif
3;18;Myrtaceae;Myrcia brasiliensis;Kiaersk.;Cambuim;56;13;7;3;2;dossel;
3;19;;Morta;;;39;;;;;;Morta
3;20;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;19;8;4;3;3;sub;bif
3;20;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;33;8;4;3;3;sub;bif
3;21;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;199;25;10;1;1;emerg;
3;22;Lauraceae;Ocotea indecora;(Schott) Mez;Canela;34;14;8;1;1;inter;
3;23;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;22;7;4;3;3;sub;
3;24;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;16;5;3;3;3;sub;
3;25;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;118;23;9;1;1;Emerg;
3;26;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;19;6;5;3;3;sub;
3;27;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;17,5;6;4;1;1;sub;
