Parcela;Idade;Hdom
125;1;5,1
126;1;3,1
127;1;3,01
128;1;4,55
129;1;4,34
130;2;8,75
131;2,2;6,54
132;2,2;5,74
133;2,2;8,07
134;2,2;8,04
108;3;8,5
91;3,5;10
106;3,5;7,5
118;3,5;13,5
135;3,9;12,73
119;4;9,5
138;4;10,2
139;4,1;10,44
136;4,2;9,14
137;4,2;8,34
95;4,5;11
96;4,5;9,5
103;4,5;11,5
105;4,5;6
114;4,5;13
116;4,5;11
140;4,8;13,38
46;5;9,55
47;5;12,07
48;5;12,3
49;5;13,6
50;5;13,3
51;5;12,87
52;5;10,6
53;5;13,17
54;5;9,98
55;5;11,35
56;5;11,2
57;5;13,37
90;5;11,5
109;5;13,5
110;5;14,5
111;5;9
120;5;10
143;5;9,87
144;5;10,62
141;5,4;10,57
142;5,4;9,7
30;5,5;10,63
31;5,5;12,1
32;5,5;10,43
33;5,5;12,5
34;5,5;11
35;5,5;11,07
97;5,5;15,5
117;5,5;10,5
113;6;15,5
147;6,2;11,08
145;6,3;11,17
146;6,3;10,6
148;6,3;11,93
15;6,5;13,53
16;6,5;10,61
17;6,5;12,7
18;6,5;10,2
19;6,5;13,87
20;6,5;14,1
21;6,5;14,07
22;6,5;11,08
23;6,5;13,93
40;6,5;14,7
41;6,5;13,97
42;6,5;14,15
43;6,5;15,43
44;6,5;13,23
45;6,5;14,57
92;6,5;12,5
93;6,5;12
101;6,5;11,5
102;6,5;13,5
104;6,5;13
121;6,5;9,5
70;7;13
71;7;12,89
72;7;11,76
73;7;12,6
74;7;14,14
75;7;12,59
76;7;10,53
77;7;10,17
78;7;9,82
79;7;10,28
80;7;10,2
81;7;9,52
99;7;12
100;7;13
107;7;13,5
115;7;12
82;7,5;12,15
83;7,5;12,84
84;7,5;14,89
85;7,5;14,52
86;7,5;13,96
87;7,5;13,53
151;7,5;13,01
149;7,6;12,56
150;7,6;9,98
112;8;13
124;8;14
89;8,5;13
123;8,5;12
58;9;17,37
59;9;15,07
60;9;18,33
61;9;16,68
62;9;16,97
63;9;18,53
88;9;15
94;9;16,5
98;9;13
1;10;17,73
2;10;12,88
3;10;13,49
4;10;19,13
5;10;12,58
6;11;18,2
7;11;17,5
8;11;17,5
9;11;19,05
10;12;18,5
11;12;16,5
12;12;14,75
13;12;14,5
14;12;15,5
24;12;15,6
25;12;13,62
26;12;16,82
27;12;15,03
28;12;14,83
29;12;12,79
64;12;17,17
65;12;17,53
66;12;17
67;12;15,13
68;12;16,03
69;12;12,88
122;13,5;13,5
36;18;20,33
37;18;17,5
38;18;18,97
39;18;18,6
