Parcela;X;Y;Idade;d;h;Va
T1P1;564011,022;8205844,954;17;24,7;22,48;90,2098
T1P2;563865,301;8205980,811;17;29,89;24,6;151,0114
T1P3;563740,323;8206103,634;17;28,32;23,88;133,2068
T1P4;563900,557;8206308,493;17;31,01;25,09;153,7527
T1P5;564057,899;8206147,623;17;31,04;25,15;181,399
T1P6;564196,59;8206012,565;17;30,25;24,72;137,2731
T2P1;564373,912;8206192,947;17;29,17;24,35;126,3728
T2P2;564217,902;8206330,459;17;31,55;25,34;150,1543
T2P3;564083,423;8206445,699;17;31,37;25,24;120,2229
T2P4;564388,309;8206476,767;17;30,42;24,81;148,3301
T2P5;564540,216;8206470,062;17;30,18;24,74;136,0238
T2P6;564593,28;8206407,29;17;33,16;25,95;145,5692
T3P1;564795,185;8206743,399;17;30,65;24,93;123,6019
T3P2;564647,759;8206872,942;17;29,1;24,25;133,9071
T3P3;564586,349;8206934,144;17;30,41;24,88;130,4741
T3P4;564777,994;8207207,649;17;29,72;24,55;132,6551
T3P5;564934,04;8207062,91;17;30,45;24,84;148,2944
T3P6;565053,774;8206951,464;17;30,61;24,96;167,1794
T4P1;565240,793;8207233,501;17;32,66;25,71;162,8202
T4P2;565131,73;8207345,695;17;30,48;24,79;113,8162
T4P3;564962,155;8207490,132;17;31,33;25,23;157,8812
T4P4;565226,178;8207714,322;17;34,72;26,43;161,9191
T4P5;565317,318;8207630,322;17;29,64;24,47;164,0847
T4P6;565383,708;8207610,328;17;29,98;24,64;134,4723
T5P1;564979,133;8206157,41;17;27,9;23,68;121,0828
T5P2;564849,499;8206267,374;17;32,23;25,61;117,6128
T5P3;564741,871;8206412,266;17;34,81;26,38;161,5386
T5P4;564932,059;8206599,635;17;30,8;25,04;124,6239
T5P5;565054,173;8206488,07;17;34,22;26,26;179,8184
T5P6;565206,909;8206362,421;17;25,83;22,59;82,8882
T6P1;565331,675;8206591,336;17;27,72;23,6;125,9684
T6P2;565261,849;8206722,747;17;26,21;22,83;79,2503
T6P3;565148,406;8206798,06;17;31,32;25,2;157,9714
T6P4;565397,586;8207012,798;17;29,99;24,69;117,4931
T6P5;565492,389;8206944,307;17;28,25;23,75;126,3424
T6P6;565596,756;8206812,078;17;26,18;22,71;103,9977
T7P1;565742,523;8207057,284;17;26,29;22,76;86,8666
T7P2;565641,182;8207147,167;17;24,35;21,58;92,8703
T7P3;565530,037;8207242,504;17;27,62;23,57;97,5235
T7P4;565823,366;8207370,529;17;29,13;24,31;140,9091
T7P5;565958,695;8207256,045;17;29,9;24,67;158,5098
T7P6;566222,487;8207433,715;17;32,2;25,5;128,2072
T8P1;565720,502;8207499,565;17;29,72;24,5;90,8659
T8P2;565632,32;8207577,717;17;29,63;24,37;123,9933
T8P3;565504,846;8207707,827;17;34,44;26,32;124,8087
T8P4;566000,5;8207667;17;29,26;24,3;127,6242
